step, loss-bn, psnr-bn
1000,74.69412231,9.716897011
1500,68.23277283,9.492349625
2000,61.87757874,13.5033083
2500,55.61634445,12.42855263
3000,49.26465607,12.1342907
3500,42.92972183,15.72232628
4000,37.19540787,16.66419601
4500,31.36880112,17.70018578
5000,26.46286964,18.94922829
5500,22.34985733,18.28747177
6000,18.87205887,21.31949234
6500,16.35817909,21.44790268
7000,15.08284569,22.06561661
7500,13.79137421,22.41061211
8000,13.17198944,22.90440941
8500,12.92657375,23.06591415
9000,12.59681606,23.1668644
9500,12.42892551,23.04339981
10000,12.70392704,22.94898605
10500,12.44719696,23.19011497
11000,12.10852432,23.29241371
11500,12.31660652,22.70788002
12000,12.11939812,23.49709702
12500,11.8891592,23.5605526
13000,11.6588459,23.76797104
13500,11.52823162,23.91341782
14000,11.55561829,23.61617661
14500,11.49149227,23.86304092
15000,11.54317188,23.77493668
15500,11.2791729,24.15875626
16000,11.33269787,24.24077225
16500,11.09329796,24.29366112
17000,11.0531702,24.38847351
17500,10.99818611,23.5919075
18000,10.97632694,24.57699203
18500,10.78560638,24.64690781
19000,10.74238205,24.59505081
19500,10.68410778,24.6770134
20000,10.47183228,25.03303528
20500,10.52911663,25.03604507
21000,10.27177429,25.0955162
21500,10.3801775,25.17222023
22000,10.2526226,25.28587723
22500,10.15062046,25.23109436
23000,10.10074425,25.58157539
23500,10.07233238,25.55722046
24000,9.956833839,25.66423988
24500,9.854275703,25.58589745
25000,9.895572662,25.97724915
25500,9.725072861,26.11719322
26000,9.783518791,25.87286377
26500,9.694460869,26.07257462
27000,9.661893845,26.25333595
27500,9.673084259,26.43039513
28000,9.599610329,25.97389793
28500,9.629519463,26.13251305
29000,9.516336441,26.50787735
29500,9.551345825,26.80690384
30000,9.330890656,26.86061096
30500,9.375520706,26.76252747
31000,9.306033134,26.87061691
31500,9.214508057,27.01174927
32000,9.295109749,27.1559639
32500,9.26470089,27.02231216
33000,9.149742126,27.31743813
33500,9.101185799,27.1768837
34000,9.144366264,27.40589333
34500,9.079369545,27.30290604
35000,9.138731956,27.21673584
35500,9.027803421,27.39311218
36000,8.949608803,27.67720985
36500,8.975277901,27.67057419
37000,9.003225327,26.8256321
37500,8.954633713,27.66057968
38000,8.820744514,27.82303429
38500,8.903336525,28.04423904
39000,8.842576981,27.92512131
39500,8.859656334,28.11219215
40000,8.840589523,28.01778793
40500,8.782290459,28.02324295
41000,8.787818909,28.16373825
41500,8.803258896,27.59436035
42000,8.787621498,27.93997574
42500,8.733860016,27.62841797
43000,8.746953011,28.12785912
43500,8.652935028,28.42904091
44000,8.747592926,28.32114601
44500,8.698314667,28.36199951
45000,8.552454948,28.48929787
