s, loss-nn, psnr-nn
1000,9.878115654,22.93413353
1500,9.40128994,23.26272774
2000,9.002976418,23.50722122
2500,8.678316116,23.78508949
3000,8.366573334,24.00162888
3500,8.065475464,24.10928726
4000,7.794613838,24.44979668
4500,7.597659588,24.72924042
5000,7.344040394,24.9422226
5500,7.227538109,25.01585579
6000,7.04429245,25.24515724
6500,6.812875748,25.46011162
7000,6.797906399,25.48225403
7500,6.491401672,25.75974464
8000,6.481317997,25.51261139
8500,6.408917427,26.140131
9000,6.224163532,26.24310875
9500,6.218224525,26.54472733
10000,6.08181715,26.47451401
10500,5.995140076,26.82238388
11000,5.763241768,26.85606003
11500,5.842565536,26.72119713
12000,5.80949831,27.25194168
12500,5.470514297,27.16002846
13000,5.561285496,27.11565018
13500,5.556875229,27.36066055
14000,5.422857761,27.56594849
14500,5.225312233,27.59506226
15000,5.319059849,27.64610672
15500,5.299782753,28.0272007
16000,4.986084938,28.01677513
16500,5.089012623,27.96593857
17000,5.113353252,27.71278381
17500,5.046340942,28.10009384
18000,4.763450623,28.50445557
18500,4.826617718,28.21871376
19000,4.791470528,28.6454258
19500,4.772501469,28.50817871
20000,4.758275986,28.78580284
20500,4.6067729,28.9751091
21000,4.474833012,28.49320602
21500,4.618429661,28.83987999
22000,4.532365322,28.90002441
22500,4.498867989,29.13717079
23000,4.390318871,29.07460594
23500,4.360732079,29.46270752
24000,4.306156158,29.38008118
24500,4.244734764,29.48423195
25000,4.275729179,29.57073593
25500,4.173841476,29.67711258
26000,4.173372746,29.63046265
26500,4.109730244,29.71434975
27000,4.044632435,30.02222252
27500,4.095761776,29.47418594
28000,3.983263254,30.31169128
28500,3.919820786,30.17023849
29000,3.896036625,30.32733154
29500,3.875453949,30.32658386
30000,3.825433016,30.09220505
30500,3.851714611,30.17712784
31000,3.757788897,30.37120056
31500,3.732099771,30.74714279
32000,3.68310833,30.71393776
32500,3.601917267,30.95369911
33000,3.622766256,30.96512794
33500,3.60043025,30.98607445
34000,3.57989645,30.63862038
34500,3.589342833,30.81103897
35000,3.496887207,31.26683998
35500,3.484310865,31.06973839
36000,3.422176123,31.52591515
36500,3.393284082,31.12410545
37000,3.353251934,31.73044777
37500,3.379687309,31.48150635
38000,3.30541563,31.88699341
38500,3.258636713,31.63578415
39000,3.250247002,31.81075478
39500,3.212562323,31.88891983
40000,3.209837914,31.94936562
40500,3.145878553,31.9838562
41000,3.139608145,31.74282455
41500,3.128278971,32.07598495
42000,3.161452055,32.07022858
42500,3.097261906,32.45777512
43000,3.031521082,32.22438431
43500,3.025442362,32.30207443
44000,2.999816179,32.54598618
44500,2.948370218,32.57090378
45000,2.932329655,32.70991898
