st, loss-bn, psnr-bn
500,36.52248383,16.99993896
1000,13.60611153,21.17273521
1500,12.5784235,21.82759666
2000,11.94107151,22.2564888
2500,11.50459766,22.91752052
3000,11.10926819,22.40063095
3500,10.80325222,23.45309067
4000,10.60305691,23.90195847
4500,10.38548088,23.40529251
5000,10.22533226,23.66042519
5500,10.11942005,24.36986923
6000,10.00129128,24.02482605
6500,9.870292664,24.08299637
7000,9.672495842,24.28344154
7500,9.650413513,24.64577484
8000,9.511408806,25.16026878
8500,9.396067619,25.41510391
9000,9.248651505,24.87444878
9500,9.157627106,25.36928177
10000,9.111480713,25.15249634
10500,9.126483917,26.08119583
11000,9.000124931,25.80574608
11500,9.025722504,25.45463562
12000,9.152304649,25.14476776
12500,8.982583046,26.0557251
13000,8.833892822,25.42797279
13500,8.78463459,26.34460068
14000,8.660365105,25.9424324
14500,8.619252205,26.93306351
15000,8.552159309,26.76903725
15500,8.523290634,26.72014236
16000,8.549901962,26.44613075
16500,8.485153198,26.99468613
17000,8.54911232,26.6052742
17500,8.573953629,25.82725143
18000,8.364670753,26.5869751
18500,8.393605232,26.88217545
19000,8.277529716,27.42008018
19500,8.265899658,27.35564041
20000,8.269285202,27.21593666
20500,8.303973198,27.39528847
21000,8.168509483,27.07932663
21500,8.297692299,26.98678589
22000,8.195184708,26.99057007
22500,8.221037865,27.61556435
23000,8.18631649,27.08512878
23500,8.16352272,27.50595093
24000,8.030182838,27.4843502
24500,8.072458267,26.78017235
25000,8.173886299,27.8782959
25500,8.042492867,27.72578049
26000,8.156682014,27.47728539
26500,7.959539413,27.95552444
27000,7.987789631,27.69323158
