s, loss-nn, psnr-nn
500,17.61545563,22.0125885
1000,10.41375256,22.6290226
1500,9.74909687,22.9424057
2000,9.320353508,23.22583771
2500,8.986275673,23.42724037
3000,8.656413078,23.5965004
3500,8.379593849,23.95650291
4000,8.078392982,24.13716507
4500,7.806535721,24.58465004
5000,7.529619217,24.83177567
5500,7.208469391,25.04678154
6000,6.981158257,25.39369774
6500,6.706370831,25.59111595
7000,6.444627285,25.96680641
7500,6.156876087,26.46338272
8000,5.897785187,26.92569351
8500,5.692102432,27.10977745
9000,5.505502701,27.40289879
9500,5.351738453,27.51327515
10000,5.197735786,28.0322628
10500,5.047397614,28.24331284
11000,4.908468246,28.49126244
11500,4.830965519,28.52264977
12000,4.740054131,28.93619728
12500,4.673009872,28.99634933
13000,4.592648506,29.15247726
13500,4.526992321,29.2674675
14000,4.422596455,29.41861343
14500,4.397860527,29.4800663
15000,4.379090309,29.57705688
15500,4.297707558,29.88071823
16000,4.219938278,29.86937904
16500,4.21137619,29.8009243
17000,4.175122261,29.89029503
17500,4.155457973,29.89051819
18000,4.121151447,30.05101013
18500,4.082500935,30.28142738
19000,4.04652071,30.29256058
19500,4.036711216,30.38684464
20000,4.00499773,30.25180626
20500,3.962608099,30.44301796
21000,3.964128494,30.49783325
21500,3.928654671,30.56731796
22000,3.923340797,30.5299778
22500,3.919853687,30.6381321
23000,3.86648488,30.59949684
23500,3.87514472,30.6983223
24000,3.866790771,30.60616684
24500,3.829126596,30.76052856
25000,3.850878477,30.54262924
25500,3.807721138,30.95931625
26000,3.815598249,30.79133034
26500,3.785473585,30.79295921
27000,3.774469852,30.78543663
