step, loss-wn, psnr-wn
500,17.22545815,21.99939346
1000,10.44414234,22.60811043
1500,9.765151978,22.92406654
2000,9.323542595,23.16303253
2500,8.990582466,23.31590462
3000,8.66413784,23.67543411
3500,8.352505684,23.97857285
4000,8.047185898,24.11809158
4500,7.779442787,24.51237679
5000,7.469536304,24.78120041
5500,7.233494759,25.11139488
6000,6.921123981,25.42901421
6500,6.70153904,25.80838013
7000,6.388688087,25.97971725
7500,6.188247681,26.40620995
8000,5.953417301,26.80221939
8500,5.735240936,27.03049088
9000,5.502828121,27.24382973
9500,5.348916531,27.62807846
10000,5.142522335,27.94318581
10500,5.013225555,28.33490562
11000,4.892629623,28.36485672
11500,4.775491238,28.44176292
12000,4.628696442,28.76118851
12500,4.523239136,29.19278526
13000,4.458254814,29.20418167
13500,4.344438553,29.47167397
14000,4.2224226,29.58988953
14500,4.131361961,29.95834732
15000,4.061933041,30.12864113
15500,4.022008419,30.16538048
16000,3.971049309,30.20907593
16500,3.898541927,30.53046799
17000,3.805281878,30.56953049
17500,3.742332697,30.8240757
18000,3.725880623,30.91843796
18500,3.680374622,30.88324928
19000,3.642611742,31.02402687
19500,3.642272472,30.96531296
20000,3.589015484,30.96804237
20500,3.529179096,31.1300602
21000,3.484360933,31.4475708
21500,3.467825413,31.32385254
22000,3.448130608,31.45643044
22500,3.391561031,31.67659378
23000,3.339017868,31.75267982
23500,3.323346853,31.9984684
24000,3.267275572,31.67242432
24500,3.31793189,31.776577
25000,3.268668413,31.82760239
25500,3.235532284,32.39169312
26000,3.196544886,32.2217598
26500,3.163349152,32.23955154
27000,3.16238308,32.1163826
