step, loss-mae, psnr-mae
500,22.32949448,20.92800522
1000,11.96299458,21.51812935
1500,11.21277523,21.95733643
2000,10.69738674,22.22528458
2500,10.32916069,22.46246529
3000,10.03697968,22.62285614
3500,9.807655334,22.76864052
4000,9.610918045,22.90016747
4500,9.415978432,22.99353409
5000,9.238938332,23.12424278
5500,9.054683685,23.23108864
6000,8.888095856,23.47658157
6500,8.707828522,23.55317116
7000,8.551259041,23.70066833
7500,8.38006115,23.79853821
8000,8.23665905,23.8963623
8500,8.099464417,23.97807312
9000,7.934822083,24.17694664
9500,7.808342457,24.29341316
10000,7.693024158,24.32270432
10500,7.565387726,24.53970528
11000,7.445484161,24.67400551
11500,7.375768661,24.7125206
12000,7.261182785,24.86623573
12500,7.135544777,24.90068626
13000,7.043661118,24.93950462
13500,6.988000393,25.10345078
14000,6.884442329,25.19419479
14500,6.79765749,25.26190948
15000,6.753095627,25.30398178
15500,6.675309181,25.44299698
16000,6.654147148,25.459589
16500,6.564400673,25.47098732
17000,6.511463165,25.67978477
17500,6.438902855,25.73462486
18000,6.385499954,25.7094326
18500,6.35205698,25.74892807
19000,6.316729546,25.91156387
19500,6.275034904,25.84036827
20000,6.280611992,25.93882751
20500,6.203801155,26.01973534
21000,6.152918816,26.04569054
21500,6.127665043,26.11526489
22000,6.130940914,26.10823059
22500,6.060696125,26.15655518
23000,6.019001007,26.23219681
23500,6.026888847,26.22963905
24000,6.001179695,26.30658531
24500,6.000913143,26.28097534
25000,5.972211361,25.99728012
25500,5.945706844,26.38710976
26000,5.873996258,26.48529434
26500,5.859525204,26.47877502
27000,5.844449997,26.41463661
27500,5.876401901,26.35443497
28000,5.817864418,26.46792603
28500,5.826203823,26.59156418
29000,5.774682522,26.59652138
29500,5.77587986,26.56658936
30000,5.759237289,26.62622643
30500,5.765062332,26.49877357
31000,5.761765957,26.59568405
31500,5.727585793,26.56743431
32000,5.727749348,26.66569138
32500,5.676205635,26.65535927
33000,5.715678692,26.55355453
33500,5.706737041,26.62981606
34000,5.707354069,26.65854836
34500,5.671319008,26.68737793
35000,5.662428856,26.65446091
35500,5.643135548,26.66447067
36000,5.634354591,26.58815956
36500,5.657200336,26.87680054
37000,5.622395515,26.6852417
37500,5.704016209,26.64559937
38000,5.587165833,26.83740807
38500,5.563471317,26.86879921
39000,5.535179615,26.93172836
39500,5.552309036,26.86522865
40000,5.545196056,26.822052
40500,5.527579308,26.93035316
41000,5.546805382,26.85610962
41500,5.507130623,26.90514755
42000,5.500758648,26.89993858
42500,5.501253605,26.83773232
43000,5.500504017,27.0077858
43500,5.462953091,26.99321556
44000,5.495806694,26.86707687
44500,5.478187561,26.92299461
45000,5.51986742,26.93114281
45500,5.481163502,26.97551918
46000,5.44904995,26.98598862
46500,5.45802784,26.94588089
47000,5.43305254,27.05446243
47500,5.425842285,27.05972862
48000,5.435218811,26.99608803
48500,5.465192318,26.9140358
49000,5.418707848,27.06375504
49500,5.4340868,26.8808651
50000,5.463260651,26.97005272
50500,5.517627716,26.95170593
51000,5.422460079,27.02690697
51500,5.37183857,27.08810806
52000,5.359722614,27.17860794
52500,5.362043858,27.16967392
53000,5.347385883,27.12212753
53500,5.358870983,27.10324097
54000,5.332130909,27.12618446
54500,5.339716911,27.21875572
55000,5.338665962,27.17765808
55500,5.322326183,27.1270752
56000,5.368256092,27.26262856
56500,5.328020573,27.12160683
57000,5.316631794,27.17977905
57500,5.335123062,27.19998741
58000,5.323470116,26.96335411
58500,5.387537956,27.2532711
59000,5.365279198,27.05548477
59500,5.341184616,27.12380028
60000,5.305188179,27.21393967
