s, loss-mse, psnr-mse
500,21.79510689,20.98268509
1000,11.87037754,21.59703636
1500,11.11061001,22.00066566
2000,10.59119034,22.2910614
2500,10.25014496,22.4828167
3000,9.970727921,22.62067413
3500,9.744170189,22.7949791
4000,9.537918091,22.93292809
4500,9.340190887,23.0749836
5000,9.157996178,23.11552238
5500,8.983877182,23.3231411
6000,8.81444931,23.47007561
6500,8.649654388,23.58263206
7000,8.498924255,23.65882301
7500,8.340853691,23.73850632
8000,8.192801476,23.89758682
8500,8.057346344,24.07662964
9000,7.88093853,24.15721893
9500,7.769069672,24.2916832
10000,7.64623642,24.40147591
10500,7.532749176,24.51145744
11000,7.438279152,24.66123009
11500,7.299672127,24.77270699
12000,7.189568996,24.91631126
12500,7.082581043,24.96503067
13000,7.052473545,25.06832504
13500,6.924139023,25.16030502
14000,6.861798286,25.27500343
14500,6.774354458,25.27739906
15000,6.703870773,25.46888351
15500,6.642976761,25.51678467
16000,6.575417995,25.46788788
16500,6.555118084,25.55484009
17000,6.506186962,25.6421299
17500,6.412545204,25.76531029
18000,6.381910324,25.70841408
18500,6.330994606,25.80441284
19000,6.29902792,25.83123779
19500,6.282969952,25.83396912
20000,6.244319916,25.92134476
20500,6.16691637,25.98885727
21000,6.150801659,25.98366165
21500,6.093938351,26.14276505
22000,6.058627605,26.04945755
22500,6.067984104,26.06679726
23000,6.054171562,26.16643715
23500,6.004894257,26.24105263
24000,5.983084679,26.25276566
24500,5.990399361,26.24062157
25000,5.966263294,26.19917679
25500,5.939421654,26.41567421
26000,5.88759613,26.26885414
26500,5.894482136,26.41331482
27000,5.849145412,26.49352455
27500,5.822509766,26.48836899
28000,5.855109215,26.48742676
28500,5.804488182,26.26250076
29000,5.830802917,26.36745071
29500,5.791985512,26.49637413
30000,5.744522095,26.6690979
30500,5.731534958,26.59749413
31000,5.727684021,26.56624794
31500,5.695258141,26.63283157
32000,5.694066048,26.63793945
32500,5.685213566,26.71490097
33000,5.66920042,26.657938
33500,5.675158978,26.63594627
34000,5.672018051,26.62345505
34500,5.699614048,26.72858238
35000,5.608923435,26.7953434
35500,5.614801884,26.75621986
36000,5.603722572,26.64174271
36500,5.587471962,26.85796738
37000,5.568886757,26.89076805
37500,5.570165157,26.78258324
38000,5.565576077,26.82061386
38500,5.559594154,26.77280807
39000,5.568883896,26.80896568
39500,5.551902771,26.79694557
40000,5.597082615,26.75590134
40500,5.542021751,26.85604858
41000,5.54676342,26.83404922
41500,5.537088394,26.81673813
42000,5.56435442,26.85900307
42500,5.499705315,26.8692627
43000,5.489782333,26.9387455
43500,5.501820087,26.93352699
44000,5.525261879,26.79218102
44500,5.512136936,27.004673
45000,5.463481426,26.87413406
45500,5.44177866,26.99830055
46000,5.432406425,27.02756119
46500,5.435580254,26.96640015
47000,5.418901443,27.06895447
47500,5.389059544,27.0701046
48000,5.422254562,27.11664391
48500,5.402846336,27.00260544
49000,5.399301529,27.04123878
49500,5.379692078,27.17468643
50000,5.382910252,27.08821678
50500,5.377643585,27.1377449
51000,5.393288136,27.05697632
51500,5.397252083,26.93965149
52000,5.416490555,27.13891983
52500,5.385661602,27.11243629
53000,5.345993042,27.14168167
53500,5.331814766,27.18462181
54000,5.333809853,27.18281174
54500,5.332624435,27.24804688
55000,5.33010149,27.01218033
55500,5.330651283,27.16080856
56000,5.34367609,27.09104538
56500,5.297982216,27.28310013
57000,5.294571877,27.20739746
57500,5.298953056,27.21662521
58000,5.304141998,27.29972458
58500,5.302339554,27.26081467
59000,5.297686577,27.24398232
59500,5.285552502,27.21538734
60000,5.274281025,27.20723343
