step, loss-edsr, psnr-edsr
500,11.80706596,22.582407
1000,9.735963821,22.99557114
1500,9.267522812,23.33259201
2000,8.891324997,23.56615067
2500,8.569615364,23.79880524
3000,8.259003639,24.08467484
3500,7.921980858,24.44162369
4000,7.64596796,24.6137886
4500,7.425051689,24.90334892
5000,7.238172054,24.89173508
5500,7.069188118,25.20187569
6000,6.904475212,25.55193138
6500,6.659247398,25.7256279
7000,6.572502136,25.70342445
7500,6.538264275,25.99830246
8000,6.307339191,25.94055748
8500,6.252855778,26.1716671
9000,6.110469341,26.3883667
9500,6.074494362,26.65439987
10000,5.923262119,26.49895668
10500,5.861732006,26.97998047
11000,5.747729301,26.84605026
11500,5.730467796,27.25580215
12000,5.543835163,27.11973572
12500,5.636210442,27.39999962
13000,5.301519871,27.40660477
13500,5.31783247,27.15218735
14000,5.286527634,27.64113235
14500,5.309952259,27.37998581
15000,5.303884506,27.60598373
15500,5.211796284,27.94604111
16000,4.959583759,27.81735802
16500,5.135476112,27.7996273
17000,5.040449142,28.26648521
17500,4.792806149,28.0275383
18000,4.900931358,27.99810791
18500,4.840398312,28.38138199
19000,4.822775364,28.54781532
19500,4.648799419,28.48558998
20000,4.71841383,28.78276443
20500,4.682209492,28.46150589
21000,4.470989227,28.81292725
21500,4.530179501,28.88785934
22000,4.55406332,28.9025631
22500,4.456077576,29.15388489
23000,4.411627769,28.91584778
23500,4.417363644,29.38444138
24000,4.187677383,29.08509827
24500,4.3003335,29.23555374
25000,4.25131321,29.30984497
25500,4.206746578,29.44887352
26000,4.202458382,29.78796768
26500,3.956541777,29.8858223
27000,4.066726685,29.64330482
27500,3.998331547,29.98043823
28000,4.012019634,29.79192734
28500,4.067224503,30.11492348
29000,3.966760635,29.88359642
29500,3.90121913,30.06304359
30000,3.856636763,30.21984482
30500,3.845150232,30.07519913
31000,3.825716496,30.33393478
31500,3.756697178,30.45035934
32000,3.741535187,30.48404312
32500,3.773325205,30.41398239
33000,3.66467905,30.63645554
33500,3.620927572,30.76331139
34000,3.625972748,30.47741127
34500,3.608625889,30.72626877
35000,3.578327417,30.9981575
35500,3.529264927,31.05216408
36000,3.483823061,31.04524612
36500,3.443542004,31.22197342
37000,3.439491272,31.40703773
37500,3.398435354,31.26081467
38000,3.324236393,31.29370689
38500,3.308107376,31.66524124
39000,3.33103013,31.76923561
39500,3.314650297,31.63411522
40000,3.286188126,31.55064774
40500,3.232871294,31.73361206
41000,3.251560688,31.67052269
41500,3.161892414,32.07077789
42000,3.147199869,31.73304367
42500,3.192762852,31.90769577
43000,3.102772951,31.9018364
43500,3.094297409,32.14043045
44000,3.033508062,32.24304962
44500,3.048529387,32.21788025
45000,3.033054352,32.13523102
45500,3.006932259,32.475914
46000,3.043072462,32.31275558
46500,2.946429253,32.62769699
47000,2.92620635,32.57199097
47500,2.924281836,32.70058441
48000,2.895603895,32.71788788
48500,2.841671944,32.728508
49000,2.877867937,32.83933258
49500,2.827052355,32.91300201
50000,2.830820322,33.03899765
50500,2.796176434,32.87645721
51000,2.804143906,33.09488297
51500,2.779908895,33.08724976
52000,2.694350243,33.1974144
52500,2.720679283,33.18785858
53000,2.722391367,33.16622925
53500,2.678848028,33.26924896
54000,2.678252697,33.52771759
54500,2.656349421,33.53514481
55000,2.667385101,33.04819489
55500,2.643587828,33.56491852
56000,2.598445654,33.64875412
56500,2.615798473,33.75386429
57000,2.56855011,33.75044632
